date,store_nbr,family,actual,naive,individual_lstm,global_simple_lstm,global_lstm,onpromotion,is_payday
2017-07-30,23,EGGS,258.5,151.9,168.1,211.9,260.9,12,1
2017-07-31,23,EGGS,207.4,144.1,196.2,209.5,208.5,0,1
2017-08-01,23,EGGS,174.0,181.9,177.0,174.6,181.6,0,0
2017-08-02,23,EGGS,197.1,193.2,182.0,174.4,180.3,0,0
2017-08-03,23,EGGS,175.0,172.9,166.2,161.7,171.3,0,0
2017-08-04,23,EGGS,128.0,147.8,115.6,143.9,149.8,0,0
2017-08-05,23,EGGS,174.5,167.0,156.4,166.6,167.1,0,0
2017-08-06,23,EGGS,170.8,258.5,161.5,174.3,183.5,0,0
2017-08-07,23,EGGS,151.9,207.4,207.3,162.3,162.7,0,0
2017-08-08,23,EGGS,186.9,174.0,170.0,183.6,170.3,0,0
2017-08-09,23,EGGS,196.7,197.1,182.9,180.8,184.2,0,0
2017-08-10,23,EGGS,226.8,175.0,166.9,181.4,207.1,12,0
2017-08-11,23,EGGS,139.1,128.0,130.0,148.6,153.2,0,0
2017-08-12,23,EGGS,166.9,174.5,178.9,190.1,166.5,0,0
2017-08-13,23,EGGS,179.4,170.8,174.8,176.6,174.0,0,0
2017-08-14,23,EGGS,171.7,151.9,175.2,152.8,162.1,0,0
2017-08-15,23,EGGS,229.8,186.9,156.2,201.2,233.9,0,1
2017-06-16,54,MEATS,434.7,358.3,369.5,365.5,458.8,12,0
2017-06-17,54,MEATS,412.9,331.3,433.0,410.8,428.0,0,0
2017-06-18,54,MEATS,419.0,340.9,365.0,420.5,412.6,0,0
2017-06-19,54,MEATS,363.7,380.0,401.9,366.5,369.6,0,0
2017-06-20,54,MEATS,463.2,419.1,399.3,413.7,399.7,0,0
2017-06-21,54,MEATS,438.9,428.7,405.4,430.1,424.4,0,0
2017-06-22,54,MEATS,370.2,401.7,439.1,423.8,407.1,0,0
2017-06-23,54,MEATS,381.3,434.7,397.8,378.3,372.3,0,0
2017-06-24,54,MEATS,474.3,412.9,414.4,448.2,419.4,0,0
2017-06-25,54,MEATS,456.7,419.0,440.9,405.3,442.2,0,0
2017-06-26,54,MEATS,342.0,363.7,380.8,395.3,367.9,0,0
2017-06-27,54,MEATS,513.4,463.2,434.6,416.4,496.3,12,0
2017-06-28,54,MEATS,460.4,438.9,401.7,459.8,426.3,0,0
2017-06-29,54,MEATS,384.0,370.2,408.2,384.3,404.2,0,0
2017-06-30,54,MEATS,502.4,381.3,359.6,426.7,481.2,0,1
2017-07-01,54,MEATS,440.6,474.3,385.8,400.1,400.6,0,0
2017-07-02,54,MEATS,407.7,456.7,412.4,381.6,427.2,0,0
2017-07-03,54,MEATS,378.5,342.0,347.3,370.8,368.6,0,0
2017-07-04,54,MEATS,338.1,513.4,491.1,399.9,423.4,0,0
2017-07-05,54,MEATS,403.1,460.4,373.9,424.1,430.0,0,0
2017-07-06,54,MEATS,395.4,384.0,346.6,404.4,392.6,0,0
2017-07-07,54,MEATS,327.1,502.4,411.1,394.4,354.7,0,0
2017-07-08,54,MEATS,568.5,440.6,413.5,427.2,503.1,12,0
2017-07-09,54,MEATS,395.2,407.7,413.6,408.7,427.4,0,0
2017-07-10,54,MEATS,369.0,378.5,405.1,364.3,388.4,0,0
2017-07-11,54,MEATS,422.4,338.1,406.9,421.8,408.9,0,0
2017-07-12,54,MEATS,464.8,403.1,378.2,398.3,431.2,0,0
2017-07-13,54,MEATS,365.8,395.4,398.2,430.5,396.2,0,0
2017-07-14,54,MEATS,387.4,327.1,337.7,382.2,352.2,0,0
2017-07-15,54,MEATS,554.5,568.5,420.9,482.2,540.1,0,1
2017-07-16,54,MEATS,406.4,395.2,382.8,388.8,418.9,0,0
2017-07-17,54,MEATS,391.6,369.0,347.0,403.7,375.2,0,0
2017-07-18,54,MEATS,424.1,422.4,394.5,411.2,407.0,0,0
2017-07-19,54,MEATS,520.1,464.8,430.6,443.1,537.6,12,0
2017-07-20,54,MEATS,403.4,365.8,372.6,370.5,401.1,0,0
2017-07-21,54,MEATS,348.7,387.4,331.9,351.1,353.1,0,0
2017-07-22,54,MEATS,424.1,554.5,391.6,410.7,420.6,0,0
2017-07-23,54,MEATS,447.5,406.4,398.4,419.6,427.0,0,0
2017-07-24,54,MEATS,419.7,391.6,359.7,372.1,378.1,0,0
2017-07-25,54,MEATS,388.1,424.1,388.5,424.1,422.9,0,0
2017-07-26,54,MEATS,482.1,520.1,423.4,402.8,433.4,0,0
2017-07-27,54,MEATS,352.9,403.4,337.3,395.9,396.2,0,0
2017-07-28,54,MEATS,354.5,348.7,308.5,363.7,354.1,0,0
2017-07-29,54,MEATS,436.0,424.1,353.1,419.6,416.3,0,0
2017-07-30,54,MEATS,677.3,447.5,380.1,511.0,623.8,12,1
2017-07-31,54,MEATS,497.4,419.7,392.4,440.1,489.1,0,1
2017-08-01,54,MEATS,413.9,388.1,466.4,386.4,429.5,0,0
2017-08-02,54,MEATS,416.4,482.1,448.4,443.8,441.2,0,0
2017-08-03,54,MEATS,387.0,352.9,388.8,404.3,398.6,0,0
2017-08-04,54,MEATS,379.5,354.5,364.1,348.5,364.2,0,0
2017-08-05,54,MEATS,430.2,436.0,341.8,437.7,421.4,0,0
2017-08-06,54,MEATS,413.6,677.3,387.9,420.8,454.9,0,0
2017-08-07,54,MEATS,402.5,497.4,368.5,400.6,389.8,0,0
2017-08-08,54,MEATS,426.8,413.9,420.3,414.4,416.4,0,0
2017-08-09,54,MEATS,449.1,416.4,381.0,457.5,418.4,0,0
2017-08-10,54,MEATS,523.8,387.0,416.0,429.2,480.4,12,0
2017-08-11,54,MEATS,337.6,379.5,426.1,357.2,361.0,0,0
2017-08-12,54,MEATS,407.2,430.2,377.5,427.6,412.1,0,0
2017-08-13,54,MEATS,449.6,413.6,404.7,430.1,415.5,0,0
2017-08-14,54,MEATS,395.3,402.5,407.6,404.0,374.3,0,0
2017-08-15,54,MEATS,551.6,426.8,391.3,476.1,530.4,0,1
2017-06-16,19,PREPARED FOODS,128.6,88.5,82.7,93.1,106.4,12,0
2017-06-17,19,PREPARED FOODS,117.4,80.4,97.9,106.3,108.5,0,0
2017-06-18,19,PREPARED FOODS,113.2,83.3,96.8,110.6,111.2,0,0
2017-06-19,19,PREPARED FOODS,106.8,95.0,109.9,88.7,91.1,0,0
2017-06-20,19,PREPARED FOODS,107.3,106.7,106.5,118.7,104.1,0,0
2017-06-21,19,PREPARED FOODS,102.7,109.6,109.6,108.2,105.9,0,0
2017-06-22,19,PREPARED FOODS,113.7,101.5,94.3,101.1,106.2,0,0
2017-06-23,19,PREPARED FOODS,92.8,128.6,84.2,93.5,91.4,0,0
2017-06-24,19,PREPARED FOODS,102.1,117.4,91.2,109.3,113.0,0,0
2017-06-25,19,PREPARED FOODS,111.7,113.2,103.8,110.3,114.3,0,0
2017-06-26,19,PREPARED FOODS,88.0,106.8,89.6,90.6,91.8,0,0
2017-06-27,19,PREPARED FOODS,122.3,107.3,106.9,107.6,128.2,12,0
2017-06-28,19,PREPARED FOODS,117.0,102.7,131.8,118.0,110.4,0,0
2017-06-29,19,PREPARED FOODS,116.8,113.7,110.7,108.1,97.8,0,0
2017-06-30,19,PREPARED FOODS,110.6,92.8,86.3,118.3,121.3,0,1
2017-07-01,19,PREPARED FOODS,114.9,102.1,112.1,103.7,108.8,0,0
2017-07-02,19,PREPARED FOODS,108.1,111.7,93.6,103.5,111.2,0,0
2017-07-03,19,PREPARED FOODS,91.1,88.0,68.9,94.3,97.0,0,0
2017-07-04,19,PREPARED FOODS,102.0,122.3,90.3,105.3,107.5,0,0
2017-07-05,19,PREPARED FOODS,102.7,117.0,81.3,113.6,108.0,0,0
2017-07-06,19,PREPARED FOODS,101.9,116.8,95.1,91.1,104.5,0,0
2017-07-07,19,PREPARED FOODS,81.8,110.6,90.7,98.0,85.7,0,0
2017-07-08,19,PREPARED FOODS,139.1,114.9,118.2,105.7,134.6,12,0
2017-07-09,19,PREPARED FOODS,112.9,108.1,103.0,106.6,113.9,0,0
2017-07-10,19,PREPARED FOODS,93.1,91.1,92.2,89.3,94.1,0,0
2017-07-11,19,PREPARED FOODS,99.5,102.0,113.8,95.7,107.2,0,0
2017-07-12,19,PREPARED FOODS,105.0,102.7,76.9,112.0,105.5,0,0
2017-07-13,19,PREPARED FOODS,107.6,101.9,102.6,100.9,103.8,0,0
2017-07-14,19,PREPARED FOODS,92.5,81.8,100.3,82.2,88.2,0,0
2017-07-15,19,PREPARED FOODS,135.8,139.1,77.8,119.3,138.6,0,1
2017-07-16,19,PREPARED FOODS,114.1,112.9,113.4,107.2,115.2,0,0
2017-07-17,19,PREPARED FOODS,101.0,93.1,99.3,104.3,93.0,0,0
2017-07-18,19,PREPARED FOODS,93.4,99.5,97.9,103.5,102.3,0,0
2017-07-19,19,PREPARED FOODS,140.6,105.0,113.3,99.0,128.1,12,0
2017-07-20,19,PREPARED FOODS,96.2,107.6,128.6,99.2,102.9,0,0
2017-07-21,19,PREPARED FOODS,93.1,92.5,92.8,87.9,85.2,0,0
2017-07-22,19,PREPARED FOODS,104.3,135.8,99.9,91.5,114.4,0,0
2017-07-23,19,PREPARED FOODS,98.8,114.1,92.9,108.7,106.4,0,0
2017-07-24,19,PREPARED FOODS,82.0,101.0,84.1,93.7,99.8,0,0
2017-07-25,19,PREPARED FOODS,107.1,93.4,113.8,108.9,106.8,0,0
2017-07-26,19,PREPARED FOODS,111.7,140.6,94.3,117.8,108.8,0,0
2017-07-27,19,PREPARED FOODS,94.3,96.2,100.5,106.8,99.7,0,0
2017-07-28,19,PREPARED FOODS,93.6,93.1,84.3,88.0,89.9,0,0
2017-07-29,19,PREPARED FOODS,97.1,104.3,102.9,100.4,109.4,0,0
2017-07-30,19,PREPARED FOODS,172.6,98.8,103.1,143.4,169.3,12,1
2017-07-31,19,PREPARED FOODS,118.6,82.0,108.3,115.3,125.9,0,1
2017-08-01,19,PREPARED FOODS,101.5,107.1,96.7,105.0,106.7,0,0
2017-08-02,19,PREPARED FOODS,110.0,111.7,101.8,107.3,108.0,0,0
2017-08-03,19,PREPARED FOODS,94.6,94.3,87.0,101.6,101.1,0,0
2017-08-04,19,PREPARED FOODS,85.4,93.6,84.8,88.7,89.6,0,0
2017-08-05,19,PREPARED FOODS,118.4,97.1,101.6,103.4,104.7,0,0
2017-08-06,19,PREPARED FOODS,108.7,172.6,108.5,106.0,108.5,0,0
2017-08-07,19,PREPARED FOODS,101.7,118.6,83.2,94.8,97.1,0,0
2017-08-08,19,PREPARED FOODS,97.7,101.5,114.3,101.9,106.7,0,0
2017-08-09,19,PREPARED FOODS,113.9,110.0,122.6,103.4,108.5,0,0
2017-08-10,19,PREPARED FOODS,139.6,94.6,104.8,101.1,124.7,12,0
2017-08-11,19,PREPARED FOODS,68.7,85.4,114.5,88.0,89.7,0,0
2017-08-12,19,PREPARED FOODS,104.0,118.4,86.9,115.0,107.9,0,0
2017-08-13,19,PREPARED FOODS,117.9,108.7,82.9,94.2,110.1,0,0
2017-08-14,19,PREPARED FOODS,93.4,101.7,72.2,101.1,95.5,0,0
2017-08-15,19,PREPARED FOODS,142.9,97.7,122.4,131.9,134.1,0,1
2017-06-16,7,SEAFOOD,55.7,40.7,29.7,47.3,52.5,12,0
2017-06-17,7,SEAFOOD,47.0,35.3,36.6,51.9,57.8,0,0
2017-06-18,7,SEAFOOD,65.4,37.2,58.4,52.5,58.8,0,0
2017-06-19,7,SEAFOOD,47.8,45.0,44.6,47.0,44.1,0,0
2017-06-20,7,SEAFOOD,54.4,52.8,57.0,49.3,52.9,0,0
2017-06-21,7,SEAFOOD,60.6,54.7,52.1,55.9,56.6,0,0
2017-06-22,7,SEAFOOD,59.3,49.3,48.3,49.5,47.0,0,0
2017-06-23,7,SEAFOOD,46.7,55.7,51.0,34.9,41.1,0,0
2017-06-24,7,SEAFOOD,46.2,47.0,42.0,60.8,55.1,0,0
2017-06-25,7,SEAFOOD,51.5,65.4,49.2,63.5,60.9,0,0
2017-06-26,7,SEAFOOD,41.3,47.8,40.6,42.4,41.8,0,0
2017-06-27,7,SEAFOOD,65.6,54.4,46.3,50.0,62.4,12,0
2017-06-28,7,SEAFOOD,57.9,60.6,48.9,54.5,55.2,0,0
2017-06-29,7,SEAFOOD,45.0,59.3,50.2,50.1,52.5,0,0
2017-06-30,7,SEAFOOD,57.5,46.7,37.4,53.5,55.2,0,1
2017-07-01,7,SEAFOOD,52.7,46.2,59.0,62.8,55.4,0,0
2017-07-02,7,SEAFOOD,55.5,51.5,39.7,55.2,62.3,0,0
2017-07-03,7,SEAFOOD,36.6,41.3,43.2,41.6,42.0,0,0
2017-07-04,7,SEAFOOD,47.3,65.6,46.3,45.9,47.9,0,0
2017-07-05,7,SEAFOOD,46.6,57.9,65.7,50.2,55.3,0,0
2017-07-06,7,SEAFOOD,43.5,45.0,49.9,48.5,48.1,0,0
2017-07-07,7,SEAFOOD,47.0,57.5,51.9,48.8,38.7,0,0
2017-07-08,7,SEAFOOD,64.2,52.7,32.7,52.1,69.1,12,0
2017-07-09,7,SEAFOOD,75.0,55.5,50.9,56.9,58.9,0,0
2017-07-10,7,SEAFOOD,48.0,36.6,53.5,44.9,43.8,0,0
2017-07-11,7,SEAFOOD,53.9,47.3,51.3,56.6,49.8,0,0
2017-07-12,7,SEAFOOD,49.6,46.6,62.1,63.9,56.2,0,0
2017-07-13,7,SEAFOOD,53.5,43.5,43.1,46.5,50.5,0,0
2017-07-14,7,SEAFOOD,37.2,47.0,55.5,39.3,40.6,0,0
2017-07-15,7,SEAFOOD,73.7,64.2,69.0,68.1,74.9,0,1
2017-07-16,7,SEAFOOD,74.5,75.0,44.8,58.8,56.1,0,0
2017-07-17,7,SEAFOOD,44.4,48.0,40.7,52.8,41.8,0,0
2017-07-18,7,SEAFOOD,59.7,53.9,64.4,54.1,51.1,0,0
2017-07-19,7,SEAFOOD,63.1,49.6,67.0,51.8,65.4,12,0
2017-07-20,7,SEAFOOD,49.1,53.5,43.0,51.2,49.7,0,0
2017-07-21,7,SEAFOOD,51.3,37.2,37.9,46.0,40.3,0,0
2017-07-22,7,SEAFOOD,53.5,73.7,44.3,57.8,57.3,0,0
2017-07-23,7,SEAFOOD,70.1,74.5,35.4,58.1,55.8,0,0
2017-07-24,7,SEAFOOD,49.2,44.4,36.2,49.5,48.0,0,0
2017-07-25,7,SEAFOOD,49.4,59.7,40.8,56.6,52.3,0,0
2017-07-26,7,SEAFOOD,58.5,63.1,44.5,59.1,56.7,0,0
2017-07-27,7,SEAFOOD,55.2,49.1,47.7,51.4,49.9,0,0
2017-07-28,7,SEAFOOD,44.4,51.3,44.2,40.6,41.8,0,0
2017-07-29,7,SEAFOOD,47.8,53.5,61.9,54.9,57.7,0,0
2017-07-30,7,SEAFOOD,83.2,70.1,38.7,70.5,84.9,12,1
2017-07-31,7,SEAFOOD,59.3,49.2,54.4,51.0,60.8,0,1
2017-08-01,7,SEAFOOD,52.4,49.4,48.4,53.2,55.3,0,0
2017-08-02,7,SEAFOOD,58.5,58.5,51.3,51.6,54.8,0,0
2017-08-03,7,SEAFOOD,50.4,55.2,54.5,48.8,50.7,0,0
2017-08-04,7,SEAFOOD,32.6,44.4,31.2,46.7,40.6,0,0
2017-08-05,7,SEAFOOD,59.5,47.8,50.6,55.1,59.6,0,0
2017-08-06,7,SEAFOOD,62.8,83.2,49.9,56.1,57.0,0,0
2017-08-07,7,SEAFOOD,48.4,59.3,49.7,39.3,48.8,0,0
2017-08-08,7,SEAFOOD,59.3,52.4,53.2,54.8,52.4,0,0
2017-08-09,7,SEAFOOD,59.8,58.5,75.4,56.0,51.4,0,0
2017-08-10,7,SEAFOOD,64.7,50.4,41.9,57.8,60.5,12,0
2017-08-11,7,SEAFOOD,40.2,32.6,36.9,40.0,39.4,0,0
2017-08-12,7,SEAFOOD,47.3,59.5,41.0,55.2,58.3,0,0
2017-08-13,7,SEAFOOD,61.8,62.8,43.0,57.0,57.0,0,0
2017-08-14,7,SEAFOOD,46.2,48.4,38.9,51.6,44.1,0,0
2017-08-15,7,SEAFOOD,70.2,59.3,61.9,60.7,63.0,0,1
2017-06-16,23,PREPARED FOODS,140.4,111.3,90.5,119.0,140.1,12,0
2017-06-17,23,PREPARED FOODS,111.3,100.5,123.9,133.9,125.8,0,0
2017-06-18,23,PREPARED FOODS,123.5,104.4,139.8,141.7,146.3,0,0
2017-06-19,23,PREPARED FOODS,127.6,120.0,146.9,99.7,115.1,0,0
2017-06-20,23,PREPARED FOODS,143.5,135.6,123.6,147.9,129.3,0,0
2017-06-21,23,PREPARED FOODS,143.8,139.5,150.9,135.6,142.3,0,0
2017-06-22,23,PREPARED FOODS,119.0,128.7,125.5,135.1,136.9,0,0
2017-06-23,23,PREPARED FOODS,110.8,140.4,111.2,105.3,116.5,0,0
2017-06-24,23,PREPARED FOODS,135.5,111.3,134.5,135.7,136.5,0,0
2017-06-25,23,PREPARED FOODS,127.8,123.5,133.5,127.3,140.3,0,0
2017-06-26,23,PREPARED FOODS,135.0,127.6,94.8,115.6,123.0,0,0
2017-06-27,23,PREPARED FOODS,178.0,143.5,154.6,146.7,167.2,12,0
2017-06-28,23,PREPARED FOODS,137.3,143.8,155.7,135.2,139.7,0,0
2017-06-29,23,PREPARED FOODS,128.9,119.0,116.1,128.9,128.7,0,0
2017-06-30,23,PREPARED FOODS,155.4,110.8,120.3,143.9,150.1,0,1
2017-07-01,23,PREPARED FOODS,115.1,135.5,128.3,134.9,131.9,0,0
2017-07-02,23,PREPARED FOODS,136.9,127.8,127.2,135.8,137.3,0,0
2017-07-03,23,PREPARED FOODS,113.2,135.0,111.2,122.6,114.1,0,0
2017-07-04,23,PREPARED FOODS,125.6,178.0,120.2,150.1,134.7,0,0
2017-07-05,23,PREPARED FOODS,136.7,137.3,133.2,136.2,135.3,0,0
2017-07-06,23,PREPARED FOODS,146.7,128.9,144.8,128.8,124.5,0,0
2017-07-07,23,PREPARED FOODS,117.7,155.4,122.6,120.0,112.3,0,0
2017-07-08,23,PREPARED FOODS,163.4,115.1,114.4,139.2,169.0,12,0
2017-07-09,23,PREPARED FOODS,145.1,136.9,135.4,143.0,141.5,0,0
2017-07-10,23,PREPARED FOODS,134.0,113.2,74.4,124.5,114.5,0,0
2017-07-11,23,PREPARED FOODS,144.9,125.6,149.3,125.3,131.5,0,0
2017-07-12,23,PREPARED FOODS,140.1,136.7,105.8,148.0,142.0,0,0
2017-07-13,23,PREPARED FOODS,122.2,146.7,120.3,119.4,124.9,0,0
2017-07-14,23,PREPARED FOODS,118.3,117.7,96.0,114.7,110.9,0,0
2017-07-15,23,PREPARED FOODS,181.4,163.4,99.6,151.3,175.1,0,1
2017-07-16,23,PREPARED FOODS,148.3,145.1,141.6,134.3,134.8,0,0
2017-07-17,23,PREPARED FOODS,126.4,134.0,112.5,122.3,120.4,0,0
2017-07-18,23,PREPARED FOODS,146.1,144.9,136.5,135.5,130.3,0,0
2017-07-19,23,PREPARED FOODS,167.7,140.1,132.9,139.5,166.2,12,0
2017-07-20,23,PREPARED FOODS,141.9,122.2,133.7,138.7,129.4,0,0
2017-07-21,23,PREPARED FOODS,113.3,118.3,115.2,115.8,106.1,0,0
2017-07-22,23,PREPARED FOODS,156.3,181.4,99.8,129.7,136.1,0,0
2017-07-23,23,PREPARED FOODS,132.5,148.3,139.0,141.5,138.2,0,0
2017-07-24,23,PREPARED FOODS,137.4,126.4,112.1,128.3,121.9,0,0
2017-07-25,23,PREPARED FOODS,137.6,146.1,106.0,124.7,135.8,0,0
2017-07-26,23,PREPARED FOODS,133.0,167.7,126.8,140.8,143.5,0,0
2017-07-27,23,PREPARED FOODS,123.8,141.9,150.1,132.3,128.8,0,0
2017-07-28,23,PREPARED FOODS,108.1,113.3,127.5,110.5,110.2,0,0
2017-07-29,23,PREPARED FOODS,139.7,156.3,114.8,141.1,135.0,0,0
2017-07-30,23,PREPARED FOODS,220.2,132.5,117.5,158.9,208.3,12,1
2017-07-31,23,PREPARED FOODS,156.3,137.4,114.9,146.1,158.8,0,1
2017-08-01,23,PREPARED FOODS,135.4,137.6,164.2,132.1,135.2,0,0
2017-08-02,23,PREPARED FOODS,160.9,133.0,139.8,136.7,136.3,0,0
2017-08-03,23,PREPARED FOODS,146.0,123.8,133.0,119.7,126.0,0,0
2017-08-04,23,PREPARED FOODS,115.7,108.1,130.4,102.5,106.8,0,0
2017-08-05,23,PREPARED FOODS,135.9,139.7,124.2,142.6,140.7,0,0
2017-08-06,23,PREPARED FOODS,140.6,220.2,118.9,128.8,133.9,0,0
2017-08-07,23,PREPARED FOODS,126.1,156.3,116.9,113.1,117.6,0,0
2017-08-08,23,PREPARED FOODS,125.4,135.4,129.8,118.2,132.5,0,0
2017-08-09,23,PREPARED FOODS,136.9,160.9,133.1,132.1,141.9,0,0
2017-08-10,23,PREPARED FOODS,145.6,146.0,137.7,118.1,156.9,12,0
2017-08-11,23,PREPARED FOODS,115.3,115.7,114.8,124.1,116.0,0,0
2017-08-12,23,PREPARED FOODS,142.0,135.9,132.1,138.5,132.2,0,0
2017-08-13,23,PREPARED FOODS,134.5,140.6,121.8,129.9,139.2,0,0
2017-08-14,23,PREPARED FOODS,135.7,126.1,121.3,135.8,117.1,0,0
2017-08-15,23,PREPARED FOODS,165.4,125.4,99.0,165.4,181.2,0,1
2017-06-16,44,GROCERY I,3687.0,3004.8,3019.4,3089.1,3846.3,12,0
2017-06-17,44,GROCERY I,3567.1,2761.3,3396.8,3577.1,3554.1,0,0
2017-06-18,44,GROCERY I,3712.3,2848.2,3529.3,3620.6,3527.1,0,0
2017-06-19,44,GROCERY I,3274.5,3200.0,2973.6,3012.9,3110.4,0,0
2017-06-20,44,GROCERY I,3518.5,3551.8,3062.9,3177.3,3632.3,0,0
2017-06-21,44,GROCERY I,3615.3,3638.7,2978.3,3690.6,3600.8,0,0
2017-06-22,44,GROCERY I,3403.1,3395.2,3483.0,3193.7,3371.6,0,0
2017-06-23,44,GROCERY I,2978.3,3687.0,2745.6,3005.7,3096.2,0,0
2017-06-24,44,GROCERY I,3684.8,3567.1,2572.9,3279.7,3526.4,0,0
2017-06-25,44,GROCERY I,3996.1,3712.3,3365.6,3273.9,3603.5,0,0
2017-06-26,44,GROCERY I,3099.7,3274.5,3918.0,3268.2,3336.4,0,0
2017-06-27,44,GROCERY I,4201.3,3518.5,3444.5,3594.7,4285.7,12,0
2017-06-28,44,GROCERY I,3622.8,3615.3,3748.6,3500.3,3679.6,0,0
2017-06-29,44,GROCERY I,3859.6,3403.1,3360.2,3039.5,3391.0,0,0
2017-06-30,44,GROCERY I,3980.1,2978.3,3034.8,3637.2,4059.9,0,1
2017-07-01,44,GROCERY I,3806.3,3684.8,3457.6,3476.5,3587.6,0,0
2017-07-02,44,GROCERY I,3900.2,3996.1,3170.1,3314.6,3606.7,0,0
2017-07-03,44,GROCERY I,3100.4,3099.7,3277.0,3223.1,3233.9,0,0
2017-07-04,44,GROCERY I,3654.2,4201.3,3538.9,3497.1,3605.3,0,0
2017-07-05,44,GROCERY I,3931.8,3622.8,3314.7,3645.9,3598.2,0,0
2017-07-06,44,GROCERY I,3327.0,3859.6,3622.4,3381.0,3334.6,0,0
2017-07-07,44,GROCERY I,2968.1,3980.1,3012.9,2911.4,2946.7,0,0
2017-07-08,44,GROCERY I,4302.6,3806.3,2975.2,3577.9,4155.9,12,0
2017-07-09,44,GROCERY I,3415.5,3900.2,3408.2,3481.0,3704.3,0,0
2017-07-10,44,GROCERY I,3083.1,3100.4,2941.2,3196.6,3130.5,0,0
2017-07-11,44,GROCERY I,3331.5,3654.2,3454.4,3381.5,3523.8,0,0
2017-07-12,44,GROCERY I,3644.9,3931.8,3504.5,3517.1,3603.7,0,0
2017-07-13,44,GROCERY I,3256.7,3327.0,3649.4,3254.5,3406.8,0,0
2017-07-14,44,GROCERY I,3046.8,2968.1,3200.0,3012.2,3064.0,0,0
2017-07-15,44,GROCERY I,4351.2,4302.6,3185.7,4314.8,4575.9,0,1
2017-07-16,44,GROCERY I,3657.7,3415.5,3489.2,3328.1,3538.0,0,0
2017-07-17,44,GROCERY I,3350.0,3083.1,3600.4,2996.7,3189.5,0,0
2017-07-18,44,GROCERY I,3193.0,3331.5,3606.9,3684.4,3555.6,0,0
